연도,연령대,행정동,인구수
2016,0-5세,구미1동,955
2016,0-5세,구미동,1668
2016,0-5세,금곡동,1529
2016,0-5세,분당동,1334
2016,0-5세,수내1동,676
2016,0-5세,수내2동,419
2016,0-5세,수내3동,512
2016,0-5세,정자1동,1313
2016,0-5세,정자2동,892
2016,0-5세,정자3동,914
2016,0-5세,정자동,1223
2016,06-10세,구미1동,754
2016,06-10세,구미동,1334
2016,06-10세,금곡동,1134
2016,06-10세,분당동,1461
2016,06-10세,수내1동,927
2016,06-10세,수내2동,890
2016,06-10세,수내3동,948
2016,06-10세,정자1동,1281
2016,06-10세,정자2동,533
2016,06-10세,정자3동,845
2016,06-10세,정자동,835
2016,11-15세,구미1동,1076
2016,11-15세,구미동,1659
2016,11-15세,금곡동,1370
2016,11-15세,분당동,1793
2016,11-15세,수내1동,1235
2016,11-15세,수내2동,1123
2016,11-15세,수내3동,1448
2016,11-15세,정자1동,1736
2016,11-15세,정자2동,876
2016,11-15세,정자3동,1022
2016,11-15세,정자동,1103
2016,16-20세,구미1동,1354
2016,16-20세,구미동,2193
2016,16-20세,금곡동,1896
2016,16-20세,분당동,2005
2016,16-20세,수내1동,1365
2016,16-20세,수내2동,955
2016,16-20세,수내3동,1347
2016,16-20세,정자1동,1977
2016,16-20세,정자2동,1142
2016,16-20세,정자3동,1296
2016,16-20세,정자동,1367
2016,21-25세,구미1동,1381
2016,21-25세,구미동,2341
2016,21-25세,금곡동,2119
2016,21-25세,분당동,2044
2016,21-25세,수내1동,1123
2016,21-25세,수내2동,621
2016,21-25세,수내3동,1057
2016,21-25세,정자1동,2156
2016,21-25세,정자2동,1057
2016,21-25세,정자3동,1179
2016,21-25세,정자동,1477
2016,26-30세,구미1동,1404
2016,26-30세,구미동,2280
2016,26-30세,금곡동,2236
2016,26-30세,분당동,2093
2016,26-30세,수내1동,1120
2016,26-30세,수내2동,426
2016,26-30세,수내3동,1006
2016,26-30세,정자1동,2581
2016,26-30세,정자2동,1472
2016,26-30세,정자3동,1129
2016,26-30세,정자동,2028
2016,31-35세,구미1동,1569
2016,31-35세,구미동,2797
2016,31-35세,금곡동,2733
2016,31-35세,분당동,2018
2016,31-35세,수내1동,1359
2016,31-35세,수내2동,384
2016,31-35세,수내3동,895
2016,31-35세,정자1동,2955
2016,31-35세,정자2동,2112
2016,31-35세,정자3동,1327
2016,31-35세,정자동,2262
2016,36-40세,구미1동,1422
2016,36-40세,구미동,2533
2016,36-40세,금곡동,2420
2016,36-40세,분당동,2100
2016,36-40세,수내1동,1510
2016,36-40세,수내2동,769
2016,36-40세,수내3동,1066
2016,36-40세,정자1동,2668
2016,36-40세,정자2동,1392
2016,36-40세,정자3동,1336
2016,36-40세,정자동,1769
2016,41-45세,구미1동,1815
2016,41-45세,구미동,3091
2016,41-45세,금곡동,2536
2016,41-45세,분당동,2933
2016,41-45세,수내1동,2071
2016,41-45세,수내2동,1515
2016,41-45세,수내3동,1949
2016,41-45세,정자1동,3103
2016,41-45세,정자2동,1603
2016,41-45세,정자3동,1659
2016,41-45세,정자동,1889
2016,46-50세,구미1동,1785
2016,46-50세,구미동,2952
2016,46-50세,금곡동,2455
2016,46-50세,분당동,2629
2016,46-50세,수내1동,1804
2016,46-50세,수내2동,1259
2016,46-50세,수내3동,1642
2016,46-50세,정자1동,2717
2016,46-50세,정자2동,1436
2016,46-50세,정자3동,1602
2016,46-50세,정자동,1754
2016,51-55세,구미1동,1534
2016,51-55세,구미동,2791
2016,51-55세,금곡동,2456
2016,51-55세,분당동,2257
2016,51-55세,수내1동,1307
2016,51-55세,수내2동,775
2016,51-55세,수내3동,1164
2016,51-55세,정자1동,2189
2016,51-55세,정자2동,1341
2016,51-55세,정자3동,1351
2016,51-55세,정자동,1513
2016,56-60세,구미1동,1164
2016,56-60세,구미동,2196
2016,56-60세,금곡동,2234
2016,56-60세,분당동,1887
2016,56-60세,수내1동,928
2016,56-60세,수내2동,547
2016,56-60세,수내3동,816
2016,56-60세,정자1동,1637
2016,56-60세,정자2동,1086
2016,56-60세,정자3동,952
2016,56-60세,정자동,1447
2016,61-65세,구미1동,694
2016,61-65세,구미동,1405
2016,61-65세,금곡동,1462
2016,61-65세,분당동,1121
2016,61-65세,수내1동,615
2016,61-65세,수내2동,357
2016,61-65세,수내3동,480
2016,61-65세,정자1동,1116
2016,61-65세,정자2동,670
2016,61-65세,정자3동,561
2016,61-65세,정자동,862
2016,66-70세,구미1동,576
2016,66-70세,구미동,1220
2016,66-70세,금곡동,1177
2016,66-70세,분당동,858
2016,66-70세,수내1동,548
2016,66-70세,수내2동,306
2016,66-70세,수내3동,300
2016,66-70세,정자1동,1039
2016,66-70세,정자2동,582
2016,66-70세,정자3동,471
2016,66-70세,정자동,654
2016,71-75세,구미1동,411
2016,71-75세,구미동,1009
2016,71-75세,금곡동,927
2016,71-75세,분당동,685
2016,71-75세,수내1동,499
2016,71-75세,수내2동,237
2016,71-75세,수내3동,246
2016,71-75세,정자1동,818
2016,71-75세,정자2동,539
2016,71-75세,정자3동,381
2016,71-75세,정자동,504
2016,76-80세,구미1동,350
2016,76-80세,구미동,820
2016,76-80세,금곡동,739
2016,76-80세,분당동,500
2016,76-80세,수내1동,446
2016,76-80세,수내2동,194
2016,76-80세,수내3동,190
2016,76-80세,정자1동,674
2016,76-80세,정자2동,463
2016,76-80세,정자3동,322
2016,76-80세,정자동,303
2016,80세+,구미1동,403
2016,80세+,구미동,998
2016,80세+,금곡동,851
2016,80세+,분당동,569
2016,80세+,수내1동,485
2016,80세+,수내2동,223
2016,80세+,수내3동,197
2016,80세+,정자1동,524
2016,80세+,정자2동,585
2016,80세+,정자3동,394
2016,80세+,정자동,296
2017,0-5세,구미1동,945
2017,0-5세,구미동,1649
2017,0-5세,금곡동,1443
2017,0-5세,분당동,1320
2017,0-5세,수내1동,658
2017,0-5세,수내2동,454
2017,0-5세,수내3동,503
2017,0-5세,정자1동,1285
2017,0-5세,정자2동,857
2017,0-5세,정자3동,880
2017,0-5세,정자동,1185
2017,06-10세,구미1동,740
2017,06-10세,구미동,1306
2017,06-10세,금곡동,1135
2017,06-10세,분당동,1432
2017,06-10세,수내1동,939
2017,06-10세,수내2동,915
2017,06-10세,수내3동,998
2017,06-10세,정자1동,1309
2017,06-10세,정자2동,530
2017,06-10세,정자3동,831
2017,06-10세,정자동,847
2017,11-15세,구미1동,937
2017,11-15세,구미동,1506
2017,11-15세,금곡동,1234
2017,11-15세,분당동,1581
2017,11-15세,수내1동,1144
2017,11-15세,수내2동,1061
