AGE,AREA_KM2,NAME,POP,FIPS,time,SEX,abs_pop,성별
0,96920,"Korea, South",331709,KS,1990,Male,331709,남자
1,96920,"Korea, South",346792,KS,1990,Male,346792,남자
2,96920,"Korea, South",343580,KS,1990,Male,343580,남자
3,96920,"Korea, South",336480,KS,1990,Male,336480,남자
4,96920,"Korea, South",352210,KS,1990,Male,352210,남자
5,96920,"Korea, South",343526,KS,1990,Male,343526,남자
6,96920,"Korea, South",367410,KS,1990,Male,367410,남자
7,96920,"Korea, South",396212,KS,1990,Male,396212,남자
8,96920,"Korea, South",425946,KS,1990,Male,425946,남자
9,96920,"Korea, South",447280,KS,1990,Male,447280,남자
10,96920,"Korea, South",437893,KS,1990,Male,437893,남자
11,96920,"Korea, South",419913,KS,1990,Male,419913,남자
12,96920,"Korea, South",385277,KS,1990,Male,385277,남자
13,96920,"Korea, South",395439,KS,1990,Male,395439,남자
14,96920,"Korea, South",396827,KS,1990,Male,396827,남자
15,96920,"Korea, South",418215,KS,1990,Male,418215,남자
16,96920,"Korea, South",451069,KS,1990,Male,451069,남자
17,96920,"Korea, South",456182,KS,1990,Male,456182,남자
18,96920,"Korea, South",464647,KS,1990,Male,464647,남자
19,96920,"Korea, South",455890,KS,1990,Male,455890,남자
20,96920,"Korea, South",475236,KS,1990,Male,475236,남자
21,96920,"Korea, South",495616,KS,1990,Male,495616,남자
22,96920,"Korea, South",483704,KS,1990,Male,483704,남자
23,96920,"Korea, South",413035,KS,1990,Male,413035,남자
24,96920,"Korea, South",405320,KS,1990,Male,405320,남자
25,96920,"Korea, South",400175,KS,1990,Male,400175,남자
26,96920,"Korea, South",407490,KS,1990,Male,407490,남자
27,96920,"Korea, South",433998,KS,1990,Male,433998,남자
28,96920,"Korea, South",445061,KS,1990,Male,445061,남자
29,96920,"Korea, South",454051,KS,1990,Male,454051,남자
30,96920,"Korea, South",448970,KS,1990,Male,448970,남자
31,96920,"Korea, South",452249,KS,1990,Male,452249,남자
32,96920,"Korea, South",429597,KS,1990,Male,429597,남자
33,96920,"Korea, South",405464,KS,1990,Male,405464,남자
34,96920,"Korea, South",386577,KS,1990,Male,386577,남자
35,96920,"Korea, South",399802,KS,1990,Male,399802,남자
36,96920,"Korea, South",350942,KS,1990,Male,350942,남자
37,96920,"Korea, South",292766,KS,1990,Male,292766,남자
38,96920,"Korea, South",333181,KS,1990,Male,333181,남자
39,96920,"Korea, South",256156,KS,1990,Male,256156,남자
40,96920,"Korea, South",265909,KS,1990,Male,265909,남자
41,96920,"Korea, South",269536,KS,1990,Male,269536,남자
42,96920,"Korea, South",265535,KS,1990,Male,265535,남자
43,96920,"Korea, South",264599,KS,1990,Male,264599,남자
44,96920,"Korea, South",237347,KS,1990,Male,237347,남자
45,96920,"Korea, South",206330,KS,1990,Male,206330,남자
46,96920,"Korea, South",208394,KS,1990,Male,208394,남자
47,96920,"Korea, South",211515,KS,1990,Male,211515,남자
48,96920,"Korea, South",240802,KS,1990,Male,240802,남자
49,96920,"Korea, South",223666,KS,1990,Male,223666,남자
50,96920,"Korea, South",202665,KS,1990,Male,202665,남자
51,96920,"Korea, South",210623,KS,1990,Male,210623,남자
52,96920,"Korea, South",200762,KS,1990,Male,200762,남자
53,96920,"Korea, South",190091,KS,1990,Male,190091,남자
54,96920,"Korea, South",181103,KS,1990,Male,181103,남자
55,96920,"Korea, South",179968,KS,1990,Male,179968,남자
56,96920,"Korea, South",166001,KS,1990,Male,166001,남자
57,96920,"Korea, South",145649,KS,1990,Male,145649,남자
58,96920,"Korea, South",143877,KS,1990,Male,143877,남자
59,96920,"Korea, South",118406,KS,1990,Male,118406,남자
60,96920,"Korea, South",109524,KS,1990,Male,109524,남자
61,96920,"Korea, South",107219,KS,1990,Male,107219,남자
62,96920,"Korea, South",96278,KS,1990,Male,96278,남자
63,96920,"Korea, South",90530,KS,1990,Male,90530,남자
64,96920,"Korea, South",86683,KS,1990,Male,86683,남자
65,96920,"Korea, South",78062,KS,1990,Male,78062,남자
66,96920,"Korea, South",80783,KS,1990,Male,80783,남자
67,96920,"Korea, South",77625,KS,1990,Male,77625,남자
68,96920,"Korea, South",69445,KS,1990,Male,69445,남자
69,96920,"Korea, South",66336,KS,1990,Male,66336,남자
70,96920,"Korea, South",56806,KS,1990,Male,56806,남자
71,96920,"Korea, South",47300,KS,1990,Male,47300,남자
72,96920,"Korea, South",44241,KS,1990,Male,44241,남자
73,96920,"Korea, South",42385,KS,1990,Male,42385,남자
74,96920,"Korea, South",40402,KS,1990,Male,40402,남자
75,96920,"Korea, South",32799,KS,1990,Male,32799,남자
76,96920,"Korea, South",27798,KS,1990,Male,27798,남자
77,96920,"Korea, South",25995,KS,1990,Male,25995,남자
78,96920,"Korea, South",21357,KS,1990,Male,21357,남자
79,96920,"Korea, South",18764,KS,1990,Male,18764,남자
80,96920,"Korea, South",15423,KS,1990,Male,15423,남자
81,96920,"Korea, South",13370,KS,1990,Male,13370,남자
82,96920,"Korea, South",10743,KS,1990,Male,10743,남자
83,96920,"Korea, South",7880,KS,1990,Male,7880,남자
84,96920,"Korea, South",6933,KS,1990,Male,6933,남자
85,96920,"Korea, South",5184,KS,1990,Male,5184,남자
86,96920,"Korea, South",3939,KS,1990,Male,3939,남자
87,96920,"Korea, South",2931,KS,1990,Male,2931,남자
88,96920,"Korea, South",2133,KS,1990,Male,2133,남자
89,96920,"Korea, South",1515,KS,1990,Male,1515,남자
90,96920,"Korea, South",1049,KS,1990,Male,1049,남자
91,96920,"Korea, South",708,KS,1990,Male,708,남자
92,96920,"Korea, South",465,KS,1990,Male,465,남자
93,96920,"Korea, South",296,KS,1990,Male,296,남자
94,96920,"Korea, South",183,KS,1990,Male,183,남자
95,96920,"Korea, South",110,KS,1990,Male,110,남자
96,96920,"Korea, South",65,KS,1990,Male,65,남자
97,96920,"Korea, South",35,KS,1990,Male,35,남자
98,96920,"Korea, South",20,KS,1990,Male,20,남자
99,96920,"Korea, South",10,KS,1990,Male,10,남자
100,96920,"Korea, South",11,KS,1990,Male,11,남자
0,96920,"Korea, South",367700,KS,1991,Male,367700,남자
1,96920,"Korea, South",332163,KS,1991,Male,332163,남자
2,96920,"Korea, South",347086,KS,1991,Male,347086,남자
3,96920,"Korea, South",344038,KS,1991,Male,344038,남자
4,96920,"Korea, South",337012,KS,1991,Male,337012,남자
5,96920,"Korea, South",352534,KS,1991,Male,352534,남자
6,96920,"Korea, South",343119,KS,1991,Male,343119,남자
7,96920,"Korea, South",366995,KS,1991,Male,366995,남자
8,96920,"Korea, South",395794,KS,1991,Male,395794,남자
9,96920,"Korea, South",425533,KS,1991,Male,425533,남자
10,96920,"Korea, South",446552,KS,1991,Male,446552,남자
11,96920,"Korea, South",436981,KS,1991,Male,436981,남자
12,96920,"Korea, South",419022,KS,1991,Male,419022,남자
13,96920,"Korea, South",384404,KS,1991,Male,384404,남자
14,96920,"Korea, South",394548,KS,1991,Male,394548,남자
15,96920,"Korea, South",396629,KS,1991,Male,396629,남자
16,96920,"Korea, South",419201,KS,1991,Male,419201,남자
17,96920,"Korea, South",451955,KS,1991,Male,451955,남자
18,96920,"Korea, South",456998,KS,1991,Male,456998,남자
19,96920,"Korea, South",465391,KS,1991,Male,465391,남자
20,96920,"Korea, South",456864,KS,1991,Male,456864,남자
21,96920,"Korea, South",476633,KS,1991,Male,476633,남자
22,96920,"Korea, South",496912,KS,1991,Male,496912,남자
